Brand,Model Name,Color,Display Size,Resolution,Operating System,Processor,Storage,RAM,Expandable Storage,Primary Camera,Secondary Camera,Connectivity,In Box
Realme,C30,Denim Black,16.51 cm (6.5 inch),1600 x 720 Pixel,Android 11,Unisoc T612,32 GB,2 GB,Dedicated Slot,8MP Rear Camera,"5MP Camera Setup: (SmartSens SC501CS-CRMNN00, f/2.2 Aperture, FOV: 77 Degree, CMOS Sensor, 1/5 inch Sensor Size, 1.12um Pixel Size, 3P Lens, Fixed Focus), Camera Feature: Beauty, filter, HDR","4G VOLTE, 4G, 3G, 2G","Handset, Adapter, USB Cable, Important Info Booklet with Warranty Card, Quick Guide, Sim Card Tool"
vivo,T1 44W,Midnight Galaxy,16.36 cm (6.44 inch),2400 x 1080 Pixel,Android 12,Qualcomm Snapdragon 680,128 GB,6 GB,Hybrid Slot,50MP + 2MP + 2MP,16MP Camera Setup: (f/2.0 Aperture),"4G, 3G, 2G","Handset, Type-C to USB Cable, USB Power Adapter, Sim Eject Tool, Protective Case, Protective Film (Applied), Documentation"
APPLE,iPhone 14 Plus,Starlight,17.02 cm (6.7 inch),2778 x 1284 Pixels,iOS 16,"A15 Bionic Chip, 6 Core Processor",128 GB,6 GB,Hybrid Slot,12MP + 12MP,12MP Front Camera,"5G, 4G VOLTE, 4G, 3G, 2G","Handset, USB-C to Lightning Cable, Documentation"
MOTOROLA,g52,Charcoal Grey,16.76 cm (6.6 inch),2460 x 1080 Pixels,Android 12,Qualcomm Snapdragon 680,64 GB,4 GB,Hybrid Slot,50MP + 8MP + 2MP,"16MP Camera Setup: (f/2.45 Aperture, 1um Pixel Size), Camera Feature: Portrait Mode, Group Selfie, Spot Color, Shot Optimization, Auto Smile Capture, Gesture Capture, Timer, Video Feature: Snap in Video Recording, Cinemagraph (MP4 only)",Yes,"Handset, Charger, USB Cable, Guides, Back Protective Case, Sim Tool"
POCO,M4 Pro,Cool Blue,16.33 cm (6.43 inch),2400 x 1080 Pixels,Android 11,Mediatek Helio G96,64 GB,6 GB,MicroSD,64MP + 8MP + 2MP,"16MP Camera Setup: (f/2.45 Aperture, Pixel Size: 1.0um), Camera Feature: HDR, AI Portrait Mode, Screen Flash, Selfie Timer, Portrait Selfies, Palm shutter","4G, 3G, 2G","Handset, 33W Power Adapter, USB Type A-C Cable, Sim Ejector Tool, Transparent Case, Pre-Applied Screen Protector, User Guide, Warranty Card"
POCO,C55,Forest Green,17.04 cm (6.71 inch),1650 x 720 Pixels,Android 12,Mediatek Helio G85,64 GB,4 GB,MicroSD,50MP Rear Camera,"5MP Front Camera: Camera Features: Portrait Mode, HDR, Front Video Recording, Palm Shutter, Voice Shutter, Movie Frame, Timelapse","4G VOLTE, 4G, 3G, 2G","Handset, 10W Charger, Micro USB Cable, Sim Eject Tool, Quick Start Guide, Warranty Card"
SAMSUNG,Galaxy F13,Nightsky Green,16.76 cm (6.6 inch),2408 x 1080 Pixels,Android 12,Exynos 850,64 GB,4 GB,MIcroSD,50MP + 5MP + 2MP,8MP Front Camera,"4G, 3G, 2G","Handset, Travel Adapter, Data Cable (A to C), Ejection Pin, Quick Start Guide"
vivo,T1 44W,Midnight Galaxy,16.36 cm (6.44 inch),2400 x 1080 Pixel,Android 12,Qualcomm Snapdragon 680,128 GB,8 GB,Hybrid Slot,50MP + 2MP + 2MP,16MP Camera Setup: (f/2.0 Aperture),"4G, 3G, 2G","Handset, Type-C to USB Cable, USB Power Adapter, Sim Eject Tool, Protective Case, Protective Film (Applied), Documentation"
MOTOROLA,g52,Charcoal Grey,16.76 cm (6.6 inch),2460 x 1080 Pixels,Android 12,Qualcomm Snapdragon 680,128 GB,6 GB,Hybrid Slot,50MP + 8MP + 2MP,"16MP Camera Setup: (f/2.45 Aperture, 1um Pixel Size), Camera Feature: Portrait Mode, Group Selfie, Spot Color, Shot Optimization, Auto Smile Capture, Gesture Capture, Timer, Video Feature: Snap in Video Recording, Cinemagraph (MP4 only)",Yes,"Handset, Charger, USB Cable, Guides, Back Protective Case, Sim Tool"
POCO,M4 5G,Power Black,16.71 cm (6.58 inch),2400 x 1080 Pixels,Android 12,Mediatek Dimensity 700,128 GB,6 GB,MicroSD,50MP + 2MP,"8MP Camera Setup: (f/2.45 Aperture, 1.0um Pixel Size), Camera Feature: Portrait, HDR, Timed Burst, AI Beauty Mode, AI Filters, Movie Frame, Palm Shutter","5G, 4G, 3G, 2G","Handset, 22.5 W Power Adapter, USB Type A-C Cable, Sim Ejector Tool, Transparent Case, Pre-Applied Screen Protector, User Guide, Warranty Card"
