Brand,Name,Rating,Price,RAM,ROM,Expandable Storage,Screen Size (inch),Screen Size (cm),Rear Cam,Selfie Cam,Battery,Processor,Image Link
SAMSUNG,Galaxy,4.3,"7,499",4,64,1,6.5,16.51,13,5,5000,Mediatek Helio P35 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/w/d/o/-original-imaghgbyhy6banxv.jpeg?q=70
POCO,M4,4.3,"13,999",6,128,1,6.43,16.33,64,16,5000,Mediatek Helio G96 Processor,https://rukminim1.flixcart.com/image/312/312/l0fm07k0/mobile/8/9/n/-original-imagc7tmhcbrarpk.jpeg?q=70
MOTOROLA,g52,4.2,"13,099",6,128,,6.6,16.76,50,16,5000,Qualcomm Snapdragon 680 Processor,https://rukminim1.flixcart.com/image/312/312/l29c9e80/mobile/4/f/z/-original-imagdnefpypk9cgx.jpeg?q=70
realme,10,4.4,"19,999",8,128,1,6.72,17.07,108,16,5000,Qualcomm Snapdragon 695 5G Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/y/z/r/-original-imagkp8yzvqffyhc.jpeg?q=70
realme,10,4.4,"18,999",6,128,1,6.72,17.07,108,16,5000,Qualcomm Snapdragon 695 5G Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/y/z/r/-original-imagkp8yzvqffyhc.jpeg?q=70
realme,C30,4.1,"6,999",3,32,1,6.5,16.51,8,5,5000,Unisoc T612 Processor,https://rukminim1.flixcart.com/image/312/312/l4ln8nk0/mobile/4/8/h/-original-imagfggrvjdqsrtx.jpeg?q=70
Infinix,Hot,4.3,"8,499",4,64,,6.82,17.32,50,8,6000,Meditek Helio G37 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/y/9/z/-original-imagh4bbndqmytqg.jpeg?q=70
Infinix,Hot,4.3,"8,499",4,64,,6.82,17.32,50,8,6000,Meditek Helio G37 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/v/9/3/-original-imagh4bbs7q2gabh.jpeg?q=70
Infinix,Hot,4.3,"8,499",4,64,,6.82,17.32,50,8,6000,Meditek Helio G37 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/0/v/c/-original-imagh4bbtgkz4xxg.jpeg?q=70
realme,10,4.4,"19,999",8,128,1,6.72,17.07,108,16,5000,Qualcomm Snapdragon 695 5G Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/y/z/r/-original-imagkp8yzvqffyhc.jpeg?q=70
realme,10,4.4,"18,999",6,128,1,6.72,17.07,108,16,5000,Qualcomm Snapdragon 695 5G Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/y/z/r/-original-imagkp8yzvqffyhc.jpeg?q=70
POCO,C50,4.1,"6,549",3,32,512,6.52,16.56,8,5,5000,"Mediatek Helio A22 Processor, Upto 2.0 GHz Processor",https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/3/l/x/-original-imaghmtcmxwgypsk.jpeg?q=70
MOTOROLA,g13,4.2,"9,999",4,128,,6.5,16.51,50,8,5000,Helio G85 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/d/h/f/g13-pawv0028in-motorola-original-imagz4rbawxkbyjg.jpeg?q=70
POCO,C55,4.2,"9,999",6,128,1,6.71,17.04,50,5,5000,Mediatek Helio G85 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/y/9/g/-original-imagnfzyhh8gz8sd.jpeg?q=70
MOTOROLA,g52,4.2,"13,099",6,128,,6.6,16.76,50,16,5000,Qualcomm Snapdragon 680 Processor,https://rukminim1.flixcart.com/image/312/312/l29c9e80/mobile/l/g/m/-original-imagdnefhnhztahe.jpeg?q=70
POCO,C55,4.3,"8,499",4,64,1,6.71,17.04,50,5,5000,Mediatek Helio G85 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/a/6/f/-original-imagnb6nvnqz7hqq.jpeg?q=70
