Phone name,Rating,Number of ratings,RAM,Storage,Display,Camera,Battery,Processor
"realme C35 (Glowing Green, 128 GB)",4.4,"1,64,253 Ratings",4 GB RAM ,128 GB ROM,16.76 cm (6.6 inch) Full HD+ Display,50MP + 2MP + 0.3MP | 8MP Front Camera,5000 mAh Lithium Polymer Battery,Unisoc Tiger T616 Processor
"POCO M4 Pro (Power Black, 128 GB)",4.3,"13,540 Ratings",8 GB RAM ,128 GB ROM,16.33 cm (6.43 inch) Full HD+ AMOLED Display,64MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Mediatek Helio G96 Processor
"MOTOROLA g42 (Atlantic Green, 64 GB)",4.2,"4,719 Ratings",4 GB RAM ,64 GB ROM,16.43 cm (6.47 inch) Full HD+ AMOLED Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium polymer Battery,Qualcomm Snapdragon 680 Processor
"MOTOROLA g22 (Cosmic Black, 64 GB)",3.7,"28,250 Ratings",4 GB RAM ,64 GB ROM,16.51 cm (6.5 inch) HD+ Display,50MP + 8MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Mediatek Helio G37 Processor
"Infinix Hot 12 (Exploratory Blue, 64 GB)",4.3,"17,048 Ratings",4 GB RAM ,64 GB ROM,17.32 cm (6.82 inch) HD+ Display,50 MP + 2 MP Depth Lens + AI Lens | 8MP Front Camera,6000 mAh Lithium-ion Polymer Battery,Meditek Helio G37 Processor
"vivo T1 Pro 5G (Turbo Black, 128 GB)",4.4,"7,755 Ratings",6 GB RAM ,128 GB ROM,16.36 cm (6.44 inch) Full HD+ AMOLED Display,64MP + 8MP + 2MP | 16MP Front Camera,4700 mAh Lithium Battery,Qualcomm Snapdragon 778G 5G Mobile Platform Processor
"REDMI 10 (Midnight Black, 64 GB)",4.3,"1,80,510 Ratings",4 GB RAM ,64 GB ROM,17.02 cm (6.7 inch) HD+ Display,50MP + 2MP | 5MP Front Camera,6000 mAh Lithium Polymer Battery,Qualcomm Snapdragon 680 Processor
"REDMI 10 (Pacific Blue, 64 GB)",4.3,"1,80,510 Ratings",4 GB RAM ,64 GB ROM,17.02 cm (6.7 inch) HD+ Display,50MP + 2MP | 5MP Front Camera,6000 mAh Lithium Polymer Battery,Qualcomm Snapdragon 680 Processor
"MOTOROLA G62 5G (Frosted Blue, 128 GB)",4.1,"14,670 Ratings",6 GB RAM ,128 GB ROM,16.64 cm (6.55 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Polymer Battery,Qualcomm Snapdragon 695 5G Processor
"POCO X4 Pro 5G (Laser Black, 128 GB)",4.1,"15,952 Ratings",8 GB RAM ,128 GB ROM,16.94 cm (6.67 inch) Full HD+ Super AMOLED Display,64MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 695 5G Processor
"MOTOROLA g52 (Charcoal Grey, 64 GB)",4.2,"9,114 Ratings",4 GB RAM ,64 GB ROM,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Battery,Qualcomm Snapdragon 680 Processor
"realme C35 (Glowing Green, 64 GB)",4.4,"1,64,253 Ratings",4 GB RAM ,64 GB ROM,16.76 cm (6.6 inch) Full HD+ Display,50MP + 2MP + 0.3MP | 8MP Front Camera,5000 mAh Lithium Polymer Battery,Unisoc Tiger T616 Processor
"realme C35 (Glowing Black, 128 GB)",4.4,"1,64,253 Ratings",4 GB RAM ,128 GB ROM,16.76 cm (6.6 inch) Full HD+ Display,50MP + 2MP + 0.3MP | 8MP Front Camera,5000 mAh Lithium Polymer Battery,Unisoc Tiger T616 Processor
"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)",4.3,"1,50,714 Ratings",6 GB RAM ,128 GB ROM,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP + 2MP | 8MP Front Camera,5000 mAh Lithium Ion Battery,Qualcomm Snapdragon 750G Processor
"MOTOROLA G32 (Mineral Gray, 64 GB)",4.2,"24,479 Ratings",4 GB RAM ,64 GB ROM,16.64 cm (6.55 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Polymer Battery,Qualcomm Snapdragon 680 Processor
"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)",4.3,"1,50,714 Ratings",6 GB RAM ,128 GB ROM,16.76 cm (6.6 inch) Display,50MP Rear Camera,5000 mAh Battery,1 Year Warranty
"POCO M4 5G (Cool Blue, 64 GB)",4.2,"50,529 Ratings",4 GB RAM ,64 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Lithium Ion Polymer Battery,Mediatek Dimensity 700 Processor
"MOTOROLA g42 (Atlantic Green, 64 GB)",4.2,"4,719 Ratings",4 GB RAM ,64 GB ROM,16.43 cm (6.47 inch) Full HD+ AMOLED Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium polymer Battery,Qualcomm Snapdragon 680 Processor
"POCO M4 5G (Cool Blue, 128 GB)",4.2,"25,240 Ratings",6 GB RAM ,128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Lithium Ion Polymer Battery,Mediatek Dimensity 700 Processor
"POCO M4 5G (Power Black, 128 GB)",4.2,"25,240 Ratings",6 GB RAM ,128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Lithium Ion Polymer Battery,Mediatek Dimensity 700 Processor
"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)",4.3,"1,50,714 Ratings",6 GB RAM ,128 GB ROM,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP + 2MP | 8MP Front Camera,5000 mAh Lithium Ion Battery,Qualcomm Snapdragon 750G Processor
"Infinix Hot 12 (7° Purple, 64 GB)",4.3,"17,048 Ratings",4 GB RAM ,64 GB ROM,17.32 cm (6.82 inch) HD+ Display,50 MP + 2 MP Depth Lens + AI Lens | 8MP Front Camera,6000 mAh Lithium-ion Polymer Battery,Meditek Helio G37 Processor
