Index,Link
2,/motorola-e40-carbon-gray-64-gb/p/itm0ca635007c9e2?pid=MOBG2EMWUMUFGSZE&lid=LSTMOBG2EMWUMUFGSZEJNGZMU&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_28&otracker=browse&fm=organic&iid=63f473c4-33b1-4cb6-b7b7-e4490a52b85c.MOBG2EMWUMUFGSZE.SEARCH&ppt=None&ppn=None&ssid=fuylpyrzfk0000001680363643918
2,/motorola-g62-5g-frosted-blue-128-gb/p/itm556a0153d9a10?pid=MOBGEDT5YQ2YFVTQ&lid=LSTMOBGEDT5YQ2YFVTQQ0KAIT&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_29&otracker=browse&fm=organic&iid=63f473c4-33b1-4cb6-b7b7-e4490a52b85c.MOBGEDT5YQ2YFVTQ.SEARCH&ppt=None&ppn=None&ssid=fuylpyrzfk0000001680363643918
2,/poco-c55-power-black-128-gb/p/itm52dfc91751293?pid=MOBGMXSWPMRNGVGW&lid=LSTMOBGMXSWPMRNGVGWUDX773&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_30&otracker=browse&fm=organic&iid=63f473c4-33b1-4cb6-b7b7-e4490a52b85c.MOBGMXSWPMRNGVGW.SEARCH&ppt=None&ppn=None&ssid=fuylpyrzfk0000001680363643918
2,/vivo-t1-44w-starry-sky-128-gb/p/itm2a08ebbea3689?pid=MOBGDRHVMW2UDXZY&lid=LSTMOBGDRHVMW2UDXZYYP1PL3&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_31&otracker=browse&fm=organic&iid=63f473c4-33b1-4cb6-b7b7-e4490a52b85c.MOBGDRHVMW2UDXZY.SEARCH&ppt=None&ppn=None&ssid=fuylpyrzfk0000001680363643918
2,/vivo-t1-44w-starry-sky-128-gb/p/itm2a08ebbea3689?pid=MOBGDRHVHNBBBBP5&lid=LSTMOBGDRHVHNBBBBP5PVEEZV&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_32&otracker=browse&fm=organic&iid=63f473c4-33b1-4cb6-b7b7-e4490a52b85c.MOBGDRHVHNBBBBP5.SEARCH&ppt=None&ppn=None&ssid=fuylpyrzfk0000001680363643918
2,/vivo-t1-44w-midnight-galaxy-128-gb/p/itm2a08ebbea3689?pid=MOBGDRHVZN29ZJF4&lid=LSTMOBGDRHVZN29ZJF4QZYS9W&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_33&otracker=browse&fm=organic&iid=63f473c4-33b1-4cb6-b7b7-e4490a52b85c.MOBGDRHVZN29ZJF4.SEARCH&ppt=None&ppn=None&ssid=fuylpyrzfk0000001680363643918
2,/apple-iphone-14-plus-midnight-128-gb/p/itm4199ea6bcd38b?pid=MOBGHWFH3JX6NWWY&lid=LSTMOBGHWFH3JX6NWWYRH38NG&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_34&otracker=browse&fm=organic&iid=63f473c4-33b1-4cb6-b7b7-e4490a52b85c.MOBGHWFH3JX6NWWY.SEARCH&ppt=None&ppn=None&ssid=fuylpyrzfk0000001680363643918
2,/realme-c30-locked-airtel-prepaid-denim-black-32-gb/p/itm938b2a52e171f?pid=MOBGFCFQTSHGRPYA&lid=LSTMOBGFCFQTSHGRPYATV0I3W&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_35&otracker=browse&fm=organic&iid=63f473c4-33b1-4cb6-b7b7-e4490a52b85c.MOBGFCFQTSHGRPYA.SEARCH&ppt=None&ppn=None&ssid=fuylpyrzfk0000001680363643918
2,/vivo-t1-44w-midnight-galaxy-128-gb/p/itm2a08ebbea3689?pid=MOBGDRHVXFVCGS23&lid=LSTMOBGDRHVXFVCGS23BNMEFR&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_36&otracker=browse&fm=organic&iid=63f473c4-33b1-4cb6-b7b7-e4490a52b85c.MOBGDRHVXFVCGS23.SEARCH&ppt=None&ppn=None&ssid=fuylpyrzfk0000001680363643918
2,/apple-iphone-14-plus-starlight-128-gb/p/itmc922ddc8af349?pid=MOBGHWFHVCB2YZYR&lid=LSTMOBGHWFHVCB2YZYR7XYF6W&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_37&otracker=browse&fm=organic&iid=63f473c4-33b1-4cb6-b7b7-e4490a52b85c.MOBGHWFHVCB2YZYR.SEARCH&ppt=None&ppn=None&ssid=fuylpyrzfk0000001680363643918
2,/motorola-g52-charcoal-grey-64-gb/p/itm8a96aeaed01c9?pid=MOBGAKFYTDHBAVV3&lid=LSTMOBGAKFYTDHBAVV3SRNTLS&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_38&otracker=browse&fm=organic&iid=63f473c4-33b1-4cb6-b7b7-e4490a52b85c.MOBGAKFYTDHBAVV3.SEARCH&ppt=None&ppn=None&ssid=fuylpyrzfk0000001680363643918
2,/poco-m4-pro-cool-blue-64-gb/p/itmeded809cd6117?pid=MOBGBTHFRAUEZX6G&lid=LSTMOBGBTHFRAUEZX6GTYEYVK&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_39&otracker=browse&fm=organic&iid=63f473c4-33b1-4cb6-b7b7-e4490a52b85c.MOBGBTHFRAUEZX6G.SEARCH&ppt=None&ppn=None&ssid=fuylpyrzfk0000001680363643918
2,/poco-c55-forest-green-64-gb/p/itm8b99ef9bd674c?pid=MOBGMXSWFYZYWKTD&lid=LSTMOBGMXSWFYZYWKTDWKED3U&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_40&otracker=browse&fm=organic&iid=63f473c4-33b1-4cb6-b7b7-e4490a52b85c.MOBGMXSWFYZYWKTD.SEARCH&ppt=None&ppn=None&ssid=fuylpyrzfk0000001680363643918
2,/samsung-galaxy-f13-nightsky-green-64-gb/p/itmeadfda1bd23fa?pid=MOBGENJWF4KJTPEN&lid=LSTMOBGENJWF4KJTPENS2XJXA&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_41&otracker=browse&fm=organic&iid=63f473c4-33b1-4cb6-b7b7-e4490a52b85c.MOBGENJWF4KJTPEN.SEARCH&ppt=None&ppn=None&ssid=fuylpyrzfk0000001680363643918
2,/vivo-t1-44w-midnight-galaxy-128-gb/p/itm2a08ebbea3689?pid=MOBGDRHVWJUFTYQJ&lid=LSTMOBGDRHVWJUFTYQJ2SYXAC&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_42&otracker=browse&fm=organic&iid=63f473c4-33b1-4cb6-b7b7-e4490a52b85c.MOBGDRHVWJUFTYQJ.SEARCH&ppt=None&ppn=None&ssid=fuylpyrzfk0000001680363643918
2,/motorola-g52-charcoal-grey-128-gb/p/itmea9ebe003e26c?pid=MOBGAKFYFCZJ8JVY&lid=LSTMOBGAKFYFCZJ8JVY99JHKD&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_43&otracker=browse&fm=organic&iid=63f473c4-33b1-4cb6-b7b7-e4490a52b85c.MOBGAKFYFCZJ8JVY.SEARCH&ppt=None&ppn=None&ssid=fuylpyrzfk0000001680363643918
2,/poco-m4-5g-power-black-128-gb/p/itm967111aabdc3f?pid=MOBGDRGPQQGTRXU9&lid=LSTMOBGDRGPQQGTRXU9P0JJRO&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_44&otracker=browse&fm=organic&iid=63f473c4-33b1-4cb6-b7b7-e4490a52b85c.MOBGDRGPQQGTRXU9.SEARCH&ppt=None&ppn=None&ssid=fuylpyrzfk0000001680363643918
2,/motorola-g32-mineral-gray-128-gb/p/itm6061450cb40ac?pid=MOBGM2EHJUTMXMFV&lid=LSTMOBGM2EHJUTMXMFVL5MPKC&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_45&otracker=browse&fm=organic&iid=63f473c4-33b1-4cb6-b7b7-e4490a52b85c.MOBGM2EHJUTMXMFV.SEARCH&ppt=None&ppn=None&ssid=fuylpyrzfk0000001680363643918
2,/poco-c50-royal-blue-32-gb/p/itm29f5966074235?pid=MOBGK8WZUTGDEZFA&lid=LSTMOBGK8WZUTGDEZFAWKBDLT&marketplace=FLIPKART&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=b_2_46&otracker=browse&fm=organic&iid=63f473c4-33b1-4cb6-b7b7-e4490a52b85c.MOBGK8WZUTGDEZFA.SEARCH&ppt=None&ppn=None&ssid=fuylpyrzfk0000001680363643918
2,/motorola-g31-baby-blue-128-gb/p/itm4abfdd078ea12?pid=MOBG3E8WDCFZEGFN&lid=LSTMOBG3E8WDCFZEGFNYA85MZ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_47&otracker=browse&fm=organic&iid=63f473c4-33b1-4cb6-b7b7-e4490a52b85c.MOBG3E8WDCFZEGFN.SEARCH&ppt=None&ppn=None&ssid=fuylpyrzfk0000001680363643918
2,/nokia-105-ss/p/itme6291847e8d65?pid=MOBGC96FVTHVNXNH&lid=LSTMOBGC96FVTHVNXNHGPCV73&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_48&otracker=browse&fm=organic&iid=63f473c4-33b1-4cb6-b7b7-e4490a52b85c.MOBGC96FVTHVNXNH.SEARCH&ppt=None&ppn=None&ssid=fuylpyrzfk0000001680363643918
3,/nokia-105-ss/p/itme6291847e8d65?pid=MOBGC96FVTHVNXNH&lid=LSTMOBGC96FVTHVNXNHGPCV73&marketplace=FLIPKART&store=tyy%2F4io&srno=b_3_49&otracker=browse&fm=organic&iid=ce415604-22de-476d-ab4c-b2624531a045.MOBGC96FVTHVNXNH.SEARCH&ppt=None&ppn=None&ssid=2a6wd6d8c00000001680363644513
